beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
Pub Beer,American Pale Lager,12,0.05,N/A,408,10 Barrel Brewing Company,Bend,OR
Devil's Cup,American Pale Ale (APA),12,0.066,N/A,177,18th Street Brewery,Gary,IN
Rise of the Phoenix,American IPA,12,0.071,N/A,177,18th Street Brewery,Gary,IN
Sinister,American Double / Imperial IPA,12,0.09%,N/A,177,18th Street Brewery,Gary,IN
Sex and Candy,American IPA,12,0.075,N/A,177,18th Street Brewery,Gary,IN
Black Exodus,Oatmeal Stout,12,0.077,N/A,177,18th Street Brewery,Gary,IN
Lake Street Express,American Pale Ale (APA),12,0.05%,N/A,177,18th Street Brewery,Gary,IN
Foreman,American Porter,12,0.065,N/A,177,18th Street Brewery,Gary,IN
Jade,American Pale Ale (APA),12,0.055,N/A,177,18th Street Brewery,Gary,IN
Cone Crusher,American Double / Imperial IPA,12,0.086,N/A,177,18th Street Brewery,Gary,IN
Sophomoric Saison,Saison / Farmhouse Ale,12,0.072,N/A,177,18th Street Brewery,Gary,IN
Regional Ring Of Fire,Saison / Farmhouse Ale,16.9,0.073,N/A,177,18th Street Brewery,Gary,IN
Garce Selé,Saison / Farmhouse Ale,12,0.07%,N/A,177,18th Street Brewery,Gary,IN
Troll Destroyer,Belgian IPA,12,0.085,N/A,177,18th Street Brewery,Gary,IN
Bitter Bitch,American Pale Ale (APA),12,0.06%,60,177,18th Street Brewery,Gary,IN
Ginja Ninja,Cider,13.5,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
Cherried Away,Cider,12,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
Rhubarbarian,Cider,12,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
BrightCider,Cider,16,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
He Said Baltic-Style Porter,Baltic Porter,12,0.082,N/A,368,21st Amendment Brewery,San Francisco,CA
He Said Belgian-Style Tripel,Tripel,13.5,0.082,N/A,368,21st Amendment Brewery,San Francisco CA,
Lower De Boom,American Barleywine,12,0.099,92,368,21st Amendment Brewery,San Francisco,CA
Fireside Chat,Winter Warmer,12,0.079,45,368,21st Amendment Brewery,San Francisco,CA
Marooned On Hog Island,American Stout,12,0.079,N/A,368,21st Amendment Brewery,San Francisco,CA
Bitter American,American Pale Ale (APA),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA
Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.05%,17,368,21st Amendment Brewery,San Francisco,CA
21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
21st Amendment IPA (2006),American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
Brew Free! or Die IPA (2008),American IPA,12,0.07%,70,368,21st Amendment Brewery,San Francisco,CA
Brew Free! or Die IPA (2009),American IPA,12,0.07%,70,368,21st Amendment Brewery,San Francisco,CA
Special Edition: Allies Win The War!,English Strong Ale,12,0.085,52,368,21st Amendment Brewery,San Francisco,CA
Hop Crisis,American Double / Imperial IPA,12,0.097,94,368,21st Amendment Brewery,San Francisco,CA
Bitter American (2011),American Pale Ale (APA),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA
Fireside Chat (2010),Winter Warmer,12,0.08%,45,368,21st Amendment Brewery,San Francisco,CA
Back in Black,American Black Ale,12,0.07%,65,368,21st Amendment Brewery,San Francisco,CA
Monk's Blood,Belgian Dark Ale,12,0.083,35,368,21st Amendment Brewery,San Francisco,CA
Brew Free! or Die IPA,American IPA,12,0.07,65,368,21st Amendment Brewery,San Francisco,CA
Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
Bimini Twist,American IPA,12,0.07,82,67,3 Daughters Brewing,St Petersburg,FL
Beach Blonde,American Blonde Ale,12,0.05,N/A,67,3 Daughters Brewing,St Petersburg,FL
Rod Bender Red,American Amber / Red Ale,12,0.059,N/A,67,3 Daughters Brewing,St Petersburg,FL
Passion Fruit Prussia,Berliner Weissbier,12,0.035,11,60,4 Hands Brewing Company,Saint Louis,MO
Send Help,American Blonde Ale,12,0.05%,18,60,4 Hands Brewing Company,Saint Louis,MO
Cast Iron Oatmeal Brown,American Brown Ale,12,0.06%,N/A,60,4 Hands Brewing Company,Saint Louis,MO
Reprise Centennial Red,American Amber / Red Ale,12,0.06,N/A,60,4 Hands Brewing Company,Saint Louis,MO
Alter Ego,American Black Ale,12,0.06%,N/A,60,4 Hands Brewing Company,Saint Louis,MO
Divided Sky,American IPA,12,0.065,N/A,60,4 Hands Brewing Company,Saint Louis MO,
Resurrected,American IPA,12,0.065,N/A,60,4 Hands Brewing Company,Saint Louis,MO
Contact High,American Pale Wheat Ale,12,0.05,28,60,4 Hands Brewing Company,Saint Louis,MO
Galaxyfest,American IPA,12,0.065,N/A,27,450 North Brewing Company,Columbus,IN
Citrafest,American IPA,12,0.05,45,27,450 North Brewing Company,Columbus,IN
Barn Yeti,Belgian Strong Dark Ale,12,0.09,N/A,27,450 North Brewing Company,Columbus,IN
Scarecrow,American IPA,12,0.069,65,27,450 North Brewing Company,Columbus,IN
Ironman,English Strong Ale,12,0.09%,50,27,450 North Brewing Company,Columbus,IN
Honey Kolsch,Kölsch,12,0.05%,15,27,450 North Brewing Company,Columbus,IN
Copperhead Amber,Belgian Dark Ale,12,0.05%,18,27,450 North Brewing Company,Columbus,IN
Rude Parrot IPA,American IPA,12,0.059,75,481,7 Seas Brewing Company,Gig Harbor,WA
British Pale Ale (2010),English Pale Ale,12,0.054,30,481,7 Seas Brewing Company,Gig Harbor,WA
British Pale Ale,English Pale Ale,12,0.054,30,481,7 Seas Brewing Company,Gig Harbor,WA
Ballz Deep Double IPA,American Double / Imperial IPA,12,0.084,82,481,7 Seas Brewing Company,Gig Harbor,WA
Wolfman's Berliner,Berliner Weissbier,12,0.038,N/A,373,7venth Sun,Dunedin,FL
Colorado Native,American Amber / Red Lager,12,0.055,26,462,AC Golden Brewing Company,Golden,CO
Colorado Native (2011),American Amber / Red Lager,12,0.055,26,462,AC Golden Brewing Company,Golden,CO
Jockamo IPA,American IPA,12,0.065,52,533,Abita Brewing Company,Abita Springs,LA
Purple Haze,Fruit / Vegetable Beer,12,0.042,13,533,Abita Brewing Company,Abita Springs,LA
Abita Amber,American Amber / Red Lager,12,0.045,17,533,Abita Brewing Company,Abita Springs,LA
Citra Ass Down,American IPA,12,0.082,68,62,Against The Grain Brewery,Louisville,KY
The Brown Note,American Brown Ale,12,0.05,20,62,Against The Grain Brewery,Louisville,KY
Citra Ass Down,American Double / Imperial IPA,12,0.08,68,1,Against the Grain Brewery,Louisville,KY
London Balling,English Barleywine,12,0.13%,80,1,Against the Grain Brewery,Louisville,KY
35 K,Milk / Sweet Stout,12,0.077,25,1,Against the Grain Brewery,Louisville,KY
A Beer,American Pale Ale (APA),12,0.042,42,1,Against the Grain Brewery,Louisville,KY
Rules are Rules,German Pilsener,12,0.05,25,1,Against the Grain Brewery,Louisville,KY
Flesh Gourd'n,Pumpkin Ale,12,0.066,21,1,Against the Grain Brewery,Louisville,KY
Sho'nuff,Belgian Pale Ale,12,0.04,13,1,Against the Grain Brewery,Louisville,KY
Bloody Show,American Pilsner,12,0.055,17,1,Against the Grain Brewery,Louisville,KY
Rico Sauvin,American Double / Imperial IPA,12,0.076,68,1,Against the Grain Brewery,Louisville,KY
Coq de la Marche,Saison / Farmhouse Ale,12,0.05%,38,1,Against the Grain Brewery,Louisville,KY
Kamen Knuddeln,American Wild Ale,12,0.07%,N/A,1,Against the Grain Brewery,Louisville,KY
Pile of Face,American IPA,12,0.06,65,1,Against the Grain Brewery,Louisville,KY
The Brown Note,English Brown Ale,12,0.05,20,1,Against the Grain Brewery,Louisville,KY
Maylani's Coconut Stout,American Stout,12,0.053,35,367,Airways Brewing Company,Kent,WA
Oatmeal PSA,American Pale Ale (APA),12,0.05,35,367,Airways Brewing Company,Kent,WA
Pre Flight Pilsner,American Pilsner,12,0.052,33,367,Airways Brewing Company,Kent,WA
P-Town Pilsner,American Pilsner,12,0.04,20,117,Alameda Brewing,Portland,OR
Klickitat Pale Ale,American Pale Ale (APA),12,0.053,36,117,Alameda Brewing,Portland,OR
Yellow Wolf Imperial IPA,American Double / Imperial IPA,16.9,0.082,103,117,Alameda Brewing,Portland,OR
Freeride APA,American Pale Ale (APA),12,0.053,40,270,Alaskan Brewing Company,Juneau,AK
Alaskan Amber,Altbier,12,0.053,18,270,Alaskan Brewing Company,Juneau,AK
Hopalicious,American Pale Ale (APA),12,0.057,N/A,73,Ale Asylum,Madison WI,
Kentucky Kölsch,Kölsch,12,0.043,N/A,388,Alltech's Lexington Brewing Company,Lexington,KY
Kentucky IPA,American IPA,12,0.065,N/A,388,Alltech's Lexington Brewing Company,Lexington,KY
Dusty Trail Pale Ale,American Pale Ale (APA),12,0.054,N/A,401,Amnesia Brewing Company,Washougal,WA
Damnesia,American IPA,12,0.062,N/A,401,Amnesia Brewing Company,Washougal,WA
Desolation IPA,American IPA,12,0.062,43,401,Amnesia Brewing Company,Washougal,WA
Liberty Ale,American IPA,12,0.06%,N/A,35,Anchor Brewing Company,San Francisco,CA
IPA,American IPA,12,0.07%,N/A,35,Anchor Brewing Company,San Francisco,CA
Summer Wheat,American Pale Wheat Ale,12,0.05%,N/A,35,Anchor Brewing Company,San Francisco,CA
California Lager,American Amber / Red Lager,12,0.049,N/A,35,Anchor Brewing Company,San Francisco,CA
Brotherhood Steam,California Common / Steam Beer,12,0.06%,N/A,35,Anchor Brewing Company,San Francisco,CA
Blood Orange Gose,Gose,12,0.042,N/A,171,Anderson Valley Brewing Company,Boonville,CA
Keebarlin' Pale Ale,American Pale Ale (APA),12,0.042,N/A,171,Anderson Valley Brewing Company,Boonville,CA
"the Kimmie, the Yink and the Holy Gose",Gose,12,0.05%,N/A,171,Anderson Valley Brewing Company,Boonville,CA
Fall Hornin',Pumpkin Ale,12,0.06,N/A,171,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout,Oatmeal Stout,12,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice,Cream Ale,12,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA
Hop Ottin' IPA,American IPA,16.9,0.07,80,171,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale,American Amber / Red Ale,12,0.06%,15,171,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout,Oatmeal Stout,12,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA
El Steinber Dark Lager,Vienna Lager,12,0.055,25,171,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale (2010),American Amber / Red Ale,12,0.06%,15,171,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice Cerveza Crema (2009),Cream Ale,12,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12,0.06%,13,171,Anderson Valley Brewing Company,Boonville,CA
Winter Solstice,Winter Warmer,12,0.07%,6,171,Anderson Valley Brewing Company,Boonville,CA
Hop Ottin' IPA (2011),American IPA,12,0.07,80,171,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale (2011),American Amber / Red Ale,12,0.058,15,171,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice (2011),Cream Ale,12,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA
Poleeko Gold Pale Ale (2009),American Pale Ale (APA),16.9,0.055,28,171,Anderson Valley Brewing Company,Boonville,CA
Charlie's Rye IPA,American IPA,12,0.06,N/A,146,Angry Minnow,Hayward,WI
River Pig Pale Ale,American Pale Ale (APA),12,0.05%,N/A,542,Angry Minnow Brewing Company,Hayward,WI
Oaky's Oatmeal Stout,Oatmeal Stout,12,0.05%,N/A,542,Angry Minnow Brewing Company,Hayward WI,
Angry Orchard Apple Ginger,Cider,12,0.05,N/A,434,Angry Orchard Cider Company,Cincinnati,OH
Angry Orchard Crisp Apple,Cider,12,0.05%,N/A,434,Angry Orchard Cider Company,Cincinnati,OH
Angry Orchard Crisp Apple,Cider,12,0.05,N/A,434,Angry Orchard Cider Company,Cincinnati,OH
Golden One,Belgian Pale Ale,12,0.068,N/A,193,Anthem Brewing Company,Oklahoma City,OK
Arjuna,Witbier,12,0.06,N/A,193,Anthem Brewing Company,Oklahoma City,OK
