index,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,Pub Beer,American Pale Lager,355 ml,5%,N/A,408,10 Barrel Brewing Company,Bend,OR
2,Devil's Cup,American Pale Ale (APA),12.0 oz.,0.066,N/A,177,18th Street Brewery,Gary,IN
3,Rise of the Phoenix,American IPA,12.0 ounce,6.60%,N/A,177,18th Street Brewery,Gary,IN
4,Sinister,American Double / Imperial IPA,12.0 oz,0.09%,N/A,177,18th Street Brewery,Gary,IN
5,Sex and Candy,American IPA,0.355 L,7.5 percent,N/A,177,18th Street Brewery,Gary,IN
6,Black Exodus,Oatmeal Stout,about 12 oz,0.077,N/A,177,18th Street Brewery,Gary,IN
7,Lake Street Express,American Pale Ale (APA),12.0 oz.,0.05%,N/A,177,18th Street Brewery,Gary,IN
8,Foreman,American Porter,12.0 ounce,0.065,N/A,177,18th Street Brewery,Gary,IN
9,Jade,American Pale Ale (APA),roughly 355 ml,5.5 percent,N/A,177,18th Street Brewery,Gary,IN
10,Cone Crusher,American Double / Imperial IPA,12.0 ounce,0.086,N/A,177,18th Street Brewery,Gary,IN
11,Sophomoric Saison,Saison / Farmhouse Ale,12.0 oz.,0.072,N/A,177,18th Street Brewery,Gary,IN
12,Regional Ring Of Fire,Saison / Farmhouse Ale,500 ml,0.073,N/A,177,18th Street Brewery,Gary,IN
13,Garce Selé,Saison / Farmhouse Ale,355 ml,0.07%,N/A,177,18th Street Brewery,Gary,IN
14,Troll Destroyer,Belgian IPA,12.0 oz.,0.085,N/A,177,18th Street Brewery,Gary,IN
15,Bitter Bitch,American Pale Ale (APA),12.0 ounce,0.06%,60,177,18th Street Brewery,Gary,IN
16,Ginja Ninja,Cider,400ml,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
17,Cherried Away,Cider,12.0 oz.,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
18,Rhubarbarian,Cider,12.0 oz. Alumi-Tek,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
19,BrightCider,Cider,near 16 ounce,0.06,N/A,154,2 Towns Ciderhouse,Corvallis,OR
20,He Said Baltic-Style Porter,Baltic Porter,355ml,0.082,N/A,368,21st Amendment Brewery,San Francisco,CA
21,He Said Belgian-Style Tripel,Tripel,400ml,0.082,N/A,368,21st Amendment Brewery,San Francisco CA,
22,Lower De Boom,American Barleywine,12 oz can,0.099,92,368,21st Amendment Brewery,San Francisco,CA
